Name,Type,Description,ABV,IBU,Average_Rating,Number_of_Ratings,Date_Added,general_type
Chocolate Raspberry Milkshake,Porter - Other,"Milkshake-style Porter brewed with milk sugar, Madagascar vanilla beans, chocolate roast malt, & cocoa nibs. Fruited with real raspberry to complement the chocolate. Keep refrigerated. ",5.40,6,3.99,436,1/29/20,Porter
110% NEIPA,IPA - New England / Hazy,"A mathematically impossible New England IPA. Collaboration with Three Cellars Menomonee Falls. Huge doses of Cashmere, Calypso, and Citra hops. Hazy, juicy, and dank with notes of melon, herb, and tropical fruits. ",6.80,10,4.02,442,4/25/19,IPA
Funnel Cloud,IPA - Rye,"New England IPA featuring two varieties of rye grain for a subtle earthy spice character that complements big tropical & citrus hop flavors from Denali, Lotus, and Galaxy. ",6.30,5,3.85,430,7/27/20,IPA
Orange Riot,Wheat Beer - American Pale Wheat,"Pale Wheat Ale featuring LOTUS hops, bringing intense Mandarin & Navel orange character. Creamy, medium-bodied, hazy with a mild citrus zest finish. Contains no fruit- only grains, yeast, and lots of hops. ",5.80,5,3.67,412,2/12/20,Wheat Beer
Maple Rye 2019,Porter - Imperial / Double,"Imperial Brown Porter with subtle roast, rich chocolate, and immense maple flavor from over 200 pounds of Wisconsin Maple Syrup. Aged in Knob Creek Rye Whiskey barrels for 12 months. 4th Anniversary Special Release. ",9.50,30,3.98,400,11/4/19,Porter
Amped,Stout - Coffee,"Bold, rich American Stout with flavors of dark chocolate, mocha, and roasted barley malt. This stout is amped up with single-origin medium-roast Honduran beans from Milwaukee’s Anodyne Coffee Roasting Co. Naturally contains caffeine. ",6.50,50,3.89,410,10/6/20,Stout
'Sup Bro Session NEIPA with SABRO,IPA - Session,"Session-Style New England IPA featuring experimental SABRO hops from the mountains of New Mexico, bringing notes of melon, tropical fruit & coconut.",4.90,5,3.73,415,4/22/19,IPA
Fall Raspberry Milkshake,Pale Ale - Milkshake,Milkshake-style Pale Ale featuring locally-grown fall raspberries from Hofacker Orchard. Brewed with lactose and conditioned on Madagascar Vanilla Beans. ,6.30,5,3.93,417,10/4/19,Pale Ale
Charged W/Clementine,Pale Ale - American,A refreshing sessionable juicy Pale Ale. Charged with a subtle hint of Clementine for nice citrus finish. Charged is an easy drinking pale ale which makes it perfect for any family gathering or sitting around the fire on warm summer night with friends! ,4.60,32,3.69,375,5/22/20,Pale Ale
Mega Berry Slushee,Sour - Fruited,"A mega-fruited, thick, tart slushee-style beer containing lactose and 5 real berries: Raspberries, Blackberries, Boysenberries, Blueberries, and Strawberries. ",5.60,5,4.32,418,9/11/19,Sour
Hyper Space,IPA - Imperial / Double New England / Hazy,This Double New England IPA was inspired by Lion's Tail fan favorite (Space Cloud) but is bigger and packs way more Galaxy hops - bringing a cosmic blast of candied tropical fruit and zingy citrus. Hazy & creamy with a soft mouthfeel and restrained bitterness. ,9.00,10,4.05,401,4/30/21,IPA
CA Love,Stout - American,This straight West Coast Stout is full of California Love. CA Love is a rich and chocolaty stout packed with real sweet cherry fruit and natural almond extract. Aromas of cherry crumb pie lead to flavors of Cherry Tootsie Pop as the beer warms in your glass. ,7.40,50,3.83,391,1/21/21,Stout
35-21,IPA - New England / Hazy,"Hazy IPA featuring golden toasted oats and dry hopped with Denali and Julius hops. Green Bay Gold in color and packed with ripe, sweet orange citrus, pineapple and tropical fruit flavors. What better way to remind New England who won Super Bowl XXXI! ",6.50,5,3.87,403,11/13/19,IPA
Juice Drop,IPA - New England / Hazy,"New England IPA featuring ""Lemondrop"" hops. Creamy mouthfeel and subtle sweetness lead to notes of Meyer lemon, citrus, and herbs that are balanced by the addition of wildflower honey. ",6.20,5,3.89,391,12/30/20,IPA
Mango Milkshake Pale Ale,IPA - Milkshake,"Hazy Pale Ale with the sweet, juicy, tropical flavors from fresh mango fruit and Mosaic hops - then ""milkshaked"" with lactose and Madagascar Vanilla Beans. ",5.50,10,4.06,387,9/21/18,IPA
Blueberry Pineapple Lemonade Slushee,Sour - Fruited Berliner Weisse,"This Slushee-style kettle sour features an enormous amount of real fruit including Blueberry, Pineapple, and lemon. This slushee will quench your thirst and leave you wanting another! ",5.00,0,4.23,358,9/11/20,Sour
Royale with Bees,Farmhouse Ale - Bière de Garde,"French Saison Avec Meil ""with honey"" Pale and Vienna malts with Wisconsin clover honey.",7.30,24,3.80,330,9/24/16,Farmhouse Ale
Trappe Door - Belgian Style Black Ale W Door County Cherries,Belgian Strong Dark Ale,"Bright cherry fruit notes dance before a shadowy sweet backdrop of dark malt, ripped with velvety cocoa, toffee & reason. The interplay of dark & lights echoed by muted suggestions of fruit & spice: plum, fig & bubblegum, black pepper, licorice & vanilla Sip, Savor, Celebrate ! ",7.20,22,3.91,363,11/16/16,Belgian Strong
Cosmic Cloud,IPA - New England / Hazy,"Juicy and hazy New England IPA featuring Southern Hemisphere hops: Pacific Jade, Motueka, and Nelson Sauvin. Brewed to minimize bitterness and fermented with Omega Yeast Lab's ""Cosmic Punch"" - a new thiolized strain known for generating tropical character. Notes of Passionfruit, Tangelo, and citrus zest with a clean finish. ",6.80,10,3.72,378,8/20/21,IPA
Bare Bones Collaboration Imperial Stout,Stout - Imperial / Double,"Big & Bold Flavored Imperial Stout with flavors of Roasted Coffee, Chocolate, and Molasses",9.50,50,3.88,335,12/22/16,Stout
2017 Bourbon Trail Stout,Stout - Other,"We brewed and started barrel-aging our 2017 Bourbon Trail Stout last winter. Now, almost a year later, it has taken on the rich character of caramelized sugars from the charred oak barrel staves and the complex sweetness of vanilla and honey from the Woodford Reserve & Heaven Hills Bourbon held inside those barrels for years. Together with the stout's roasty base and sticky sweetness of brown sugar and molasses... this beer was made to warm your soul. ",9.60,45,4.12,330,10/6/17,Stout
Vanilla Mocha Stout,Stout - Coffee,"Rich, velvety-smooth Mocha-Style stout made with cacao nibs, vanilla beans, and cold-steeped Costa Rican coffee roasted by Appleton's Uncommon Grounds. Contains lactose. ",6.30,1,3.84,375,11/16/19,Stout
Strawberry Candy Blast,Sour - Fruited,"Inspired by one of our favorite fruit candies, Strawberry Candy Blast is refreshingly tart with notes of chewy strawberry candies, and sweet field-ripened berries. Fruited as heavily as our standard slushees, but has lighter body and mouthfeel because of the fruit mix. Swirl can while pouring to rouse pulp. Contains lactose. ",5.60,5,3.99,387,2/5/21,Sour
Citrus'd,IPA - American,"This classic American IPA combines Citra, Lemondrop, & Motueka hops for huge flavors of orange, lemon, lime, and grapefruit balanced by the medium bittering from classic kettle-hop additions. ",6.60,45,3.63,366,4/28/22,IPA
Cherry Limeade Slushee,Sour - Fruited Berliner Weisse,"Forget Sonic, this fun and deliccious drink hits the spot! This Slushee-style kettle sour features an enormous amount of real fruit including Sweet Cherry, Tart Cherry, and Key Lime. ",5.00,0,4.27,336,9/11/20,Sour
Juice Phantasy,IPA - New England / Hazy,"Thiols (pronounced THIGH-awls) are chemical compounds that give dry-hopped beers their intense fruity and tropical aromas and flavors. To put even more thiols in this beer beyond what dry-hopping gives us- we relied on ""Phantasm"", a powder made out of New Zealand Sauv Blanc grape skins. ",6.30,0,3.70,359,8/12/22,IPA
Apple Pie Milkshake,Pale Ale - Milkshake,"Pale Ale with flavors of homemade apple pie and creamy vanilla ice cream. Flavored naturally with vanilla beans, spices, and pressed apples. More pale ale served cold, more apple pie as it warms. Contains lactose. ",5.60,7,3.74,363,10/6/20,Pale Ale
Oats & Honey Blonde,Blonde Ale,"This light, refreshing blonde ale balances gentle malt and oat sweetness with a touch of local Wisconsin Clover Honey.",4.80,13,3.78,334,7/23/21,Blonde Ale
"Prickly Pear, Clementine, Mango Slushee",Sour - Fruited,"Slushee-style sour, thick with massive amounts of real fruit. Featuring the exotic combination of Ruby Red Prickly Pear fruit, Clementine orange, and Mango. Contains lactose. ",5.00,0,4.15,335,5/19/21,Sour
Lemon Bar Milkshake,Pale Ale - Milkshake,"Milkshake-style Pale Ale inspired by Lemon Bars! Brewed with Vanilla Wafers, agave sugar, and real Meyer lemon. Contains lactose.",5.50,5,3.84,349,4/16/21,Pale Ale
PB&J Milkshake - Strawberry,Porter - Other,"Milkshake-style Porter with tons of peanut butter and real strawberry, vanilla beans and milk sugar. Brewed with specialty biscuit and red wheat malts for toasted bread crust notes. Mom won't have to cut the crust off of this one! Cheers! ",5.60,5,3.67,344,12/26/20,Porter
"Blackberry, Raspberry, Tangerine Slushee",Sour - Fruited,"Slushee-style sour, thick with pulp from massive amounts of real fruit. Featuring the tasty combination of blackberries, raspberries, and tangerines. Contains lactose. ",5.20,0,4.22,347,4/9/21,Sour
Orange Candy Blast,Sour - Fruited,"Inspired by one of our favorite fruit candies, Orange Candy Blast is refreshingly tart with notes of orange chewy candies and Cara Cara oranges. Fruited as heavily as our standard slushees, but has lighter body and mouthfeel because of the fruit mix (low in pulp) Contains lactose. ",5.20,1,3.99,352,2/5/21,Sour
Foundry Light,Lager - American Light,"Refreshingly smooth with a crisp, clean finish. Lagered to perfection for 2 months, Foundry Light was brewed to honor the dedicated metal workers of Wisconsin’s Neenah Foundry, now celebrating 150 years of hard work and exceptional quality! ",4.50,17,3.68,297,2/12/21,Lager
Czech Please,Pilsner - Czech,"This traditional Bohemian Pilsner features floor-malted Czech barley, Honey malt, and Czech Saaz hops. Cold-fermented methodically with traditional Bohemian Pilsner yeast. Pleasantly smooth with a crisp, Noble hop finish. ",5.30,32,3.71,305,2/20/20,Pilsner
Big Mama's Imperial Cherry Pie,Sour - Fruited,Sour ale brewed with graham cracker and vanilla beans- then fruited with sweet Bing and tart Montmorency Cherries. The higher abv (8%) is balanced well by the dessert sweetness of Big Mama's homemade cherry pie. We use real fruit so some separation in the can is normal; swirl the can mid-pour to enjoy it all! Contains lactose. ,8.00,0,3.91,329,11/23/22,Sour
Strawberry Passionfruit Lemonade,Sour - Fruited,"Slushee-style sour, thick with massive amounts of real fruit. Featuring the tasty combination of Strawberries, Passionfruit, and Meyer Lemon. Contains lactose. ",5.10,0,4.15,301,5/14/21,Sour
Lemon Candy Blast Slushee,Sour - Fruited,"Inspired by one of our favorite fruit candies, Lemon Candy Blast is refreshingly tart with notes of Eureka lemon zest, sour gummy candies, and sweet Meyer lemon. Fruited as heavily as our standard slushees, but has lighter body and mouthfeel because of the fruit mix (lemons aren't pulpy!) Contains lactose. ",6.10,0,4.04,337,2/5/21,Sour
King Kula,Wheat Beer - American Pale Wheat,Kula Wheat aged nearly four months in a Spiced Rum barrel from Great Lakes Distillery. The barrel aging transformed our pineapple American Wheat ale- giving it a smooth maple sweetness with vanilla notes and a subtle bourbon character from the charred oak ,7.20,17,3.93,284,4/27/16,Wheat Beer
Cherry Candy Blast,Sour - Fruited,"Inspired by one of our favorite fruit candies, Cherry Candy Blast is refreshingly tart with notes of chewy cherry candies and sweet yet tart bing cherries. Fruited as heavily as our standard slushees, but has lighter body and mouthfeel because of the fruit mix. Contains lactose. ",5.50,1,3.93,334,2/5/21,Sour
Stone Cloud NEIPA,IPA - New England / Hazy,"New England-style IPA: brewed to minimize bitterness and maximize the deliciously sweet fruity hop flavors from cold-hopping with Nectaron, Wa-iti and Citra hops. Big doses of oats and wheat make it soft on the palate and cloudy with haze. Notes of stone fruit, passionfruit, and juicy citrus. ",6.00,5,3.86,326,11/17/22,IPA
#ForTheGraham,Porter - Other,"Brown Porter with a subtle twist of the perfect fireside S'more. Brewed with real ingredients including marshmallow, vanilla beans, cacao nibs and milk sugar, with specialty biscuit and chocolate malts. Do it #ForTheGraham and show off that beautiful beer selfie to your friends! ",5.70,25,3.63,315,10/22/20,Porter
Coco Pie Milkshake,Pale Ale - Milkshake,"Our collaboration project with Oshkosh's Fifth Ward Brewing- this Milkshake Pale Ale was inspired by coconut cream pie. On top of a base of pale barley, wheat, and malted oats- we brewed Coco Pie with graham cracker, vanilla beans, cacao nibs, and oven-toasted flaked coconut. Contains lactose. ",5.40,5,3.76,322,5/13/22,Pale Ale
